United_States	5	0	232195	3210950	830628	10	-125	10000	0	46	2130	100	226	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	-70
Soviet_Union	0	2	269876	2730075	1402647	-60	30	2000	100	70	4600	0	190	0	0	0	0	1	0	1	-80	0	0	0	0	0	0	0	127
Mexico	19	0	71330	301328	6027	-30	90	2000	0	56	95	90	120	0	0	0	0	2	2	5	40	0	0	0	0	1	0	4	10
Honduras	19	0	4103	3855	347	40	-70	150	20	64	12	70	86	3	0	1	0	3	3	5	50	0	0	0	0	1	0	4	-30
Nicaragua	19	0	2643	2156	194	-70	60	1000	300	36	30	50	70	0	0	0	0	0	0	0	-100	2	0	0	0	2	0	5	80
Panama	19	0	2013	4313	173	30	-70	1000	50	71	8	80	91	1	0	0	0	3	2	4	30	0	0	0	0	1	0	4	0
Cuba	19	0	9771	20500	6560	-80	30	2000	0	70	120	10	130	0	0	0	0	0	0	0	-80	4	0	2	0	4	4	5	100
Argentina	19	0	28593	203251	28455	50	-80	900	40	54	160	60	98	1	0	0	0	2	1	4	10	0	0	0	0	2	0	3	-10
Colombia	19	0	26631	50969	2039	10	-50	900	100	51	50	65	86	1	0	0	0	2	3	4	50	0	0	0	0	1	0	3	-10
Peru	19	0	18631	24394	7806	20	-60	600	200	86	95	65	104	1	0	0	0	2	1	4	20	0	0	0	0	1	0	3	10
Venezuela	19	0	18428	78369	5270	10	-70	900	50	102	55	70	144	1	0	0	0	2	2	4	20	0	0	0	0	1	0	3	0
Brazil	17	0	127734	174864	6995	20	-60	1200	100	56	455	60	96	0	0	0	0	2	1	4	40	0	0	0	0	2	0	3	0
Chile	19	0	11323	33981	4078	70	-60	1200	100	24	110	70	85	1	0	0	0	2	2	4	50	0	0	0	0	1	0	3	-40
Canada	5	1	24469	305757	30576	-10	-125	10000	0	56	77	99	250	0	0	0	0	5	0	2	125	0	0	0	0	1	0	3	-60
Greece	8	1	9743	52452	11539	20	-60	900	0	61	190	75	180	1	0	0	0	5	2	5	80	0	0	0	0	1	0	3	-20
Sweden	20	1	8331	126151	20184	-30	110	2000	0	59	70	70	250	0	0	0	0	2	0	5	40	0	0	0	0	2	0	3	20
United_Kingdom	5	1	56095	540828	108166	20	-110	5000	0	46	345	90	225	0	0	3	0	5	0	5	120	0	0	0	0	1	0	3	-70
France	6	0	54174	621172	105599	-20	-80	3000	0	54	575	70	230	0	0	0	0	5	0	5	80	0	0	0	0	2	0	3	-60
Spain	19	1	37940	204082	14286	10	-80	3000	0	54	375	70	196	0	0	0	0	5	0	5	100	0	0	0	0	1	0	3	-70
West_Germany	7	4	61697	715726	107359	10	-100	5000	0	56	495	90	240	4	0	4	0	5	0	5	110	0	0	0	0	2	0	3	-80
Romania	18	0	22510	55674	26167	-60	100	1000	0	60	220	5	156	0	0	0	0	1	0	2	-30	1	0	2	0	5	0	5	90
Italy	11	1	57353	426296	42630	20	-50	900	100	51	500	80	216	0	0	1	0	5	0	5	100	0	0	0	0	1	0	3	-50
East_Germany	7	2	16738	116530	32628	-60	40	2000	0	70	220	0	190	0	0	0	0	1	0	2	-40	3	0	4	0	5	0	5	100
Poland	16	1	36229	75647	19668	-60	0	2000	300	60	435	0	210	0	0	0	0	1	0	2	-30	2	0	3	0	5	0	5	100
Czechoslovakia	4	1	15369	88680	24830	-60	60	2000	0	60	210	0	219	0	0	0	0	1	0	2	-40	3	0	3	0	5	0	5	100
Yugoslavia	24	2	22689	109583	21917	-40	30	1200	300	60	270	20	165	0	0	0	0	1	0	3	10	0	0	0	0	3	0	5	20
South_Africa	0	0	30021	85462	16238	30	-30	1000	500	64	50	60	98	0	0	0	0	1	0	1	20	0	0	0	0	1	0	3	-40
Egypt	1	0	44740	24499	9555	10	-80	500	100	61	400	60	76	4	0	0	0	3	5	4	50	0	0	0	0	1	0	3	-30
